timestamp,133,130,128,132,131,129,126,134,127,125,145,144,143,142,141,140,139,138,137,136,135
84600,664970.0,,1374376.0,934040.0,915359.0,1784874.0,1455487.0,1193325.0,,1327953.0,3893445.0,1766875.0,741414.0,643512.0,991062.0,2305079.0,980418.0,961072.0,2986121.0,1185485.0,1394200.0
86400,673828.0,,1399837.0,945451.0,926578.0,1798503.0,1480820.0,1211377.0,,1351376.0,3961715.0,1790613.0,754076.0,652987.0,1006620.0,,996757.0,974760.0,3055596.0,1209418.0,1411913.0
88200,683671.0,4906517.0,1433400.0,961910.0,936557.0,1807432.0,1509989.0,1224820.0,,1373965.0,4031660.0,1828287.0,764680.0,662545.0,1020073.0,2399310.0,1016170.0,988711.0,3157145.0,1229989.0,1423610.0
90000,695429.0,4961675.0,1456604.0,976190.0,952729.0,1823791.0,1529601.0,,,1400542.0,4112031.0,1858621.0,776740.0,669486.0,1034268.0,,1034030.0,1003786.0,3235190.0,1252831.0,1440766.0
91800,702500.0,4990042.0,1476935.0,986438.0,972106.0,1837182.0,,1270730.0,,1431177.0,4170390.0,1885670.0,789359.0,676910.0,1044344.0,,1050963.0,1014920.0,3326006.0,1274748.0,1457490.0
93600,710595.0,5043511.0,1497488.0,1001640.0,988832.0,1850942.0,1584083.0,1291617.0,,1450432.0,4259920.0,1909791.0,804239.0,686683.0,1058427.0,2565579.0,1065603.0,1027481.0,3416972.0,1296662.0,1473631.0
95400,722693.0,5095719.0,,1016305.0,1008462.0,1869207.0,1606231.0,1312802.0,,1470630.0,4346928.0,1940462.0,816000.0,693565.0,1070231.0,2630190.0,1079927.0,1038536.0,3502250.0,1314598.0,1492986.0
97200,732202.0,5178343.0,1531335.0,1025861.0,1027543.0,1890143.0,1631377.0,,,1493748.0,4430315.0,1969038.0,828266.0,705865.0,1085093.0,2674745.0,1100012.0,1049414.0,3586574.0,1334335.0,1513197.0
99000,741361.0,5239898.0,1551106.0,1037756.0,1045290.0,1913743.0,1647300.0,1363431.0,,1519985.0,4517522.0,1989880.0,840725.0,717618.0,1095553.0,2724480.0,1110836.0,1062426.0,3662402.0,1358402.0,1532867.0
100800,752380.0,5299847.0,1573109.0,1051225.0,1062611.0,1942978.0,1678858.0,1381190.0,,1534663.0,4591501.0,2020863.0,851167.0,726149.0,1110704.0,2771955.0,1129276.0,1075127.0,3723683.0,1380370.0,1556808.0
102600,765946.0,5404404.0,,,1080255.0,1965506.0,,1407560.0,,1550445.0,4682078.0,2051481.0,860665.0,737771.0,1121940.0,2801087.0,1140315.0,1083332.0,3782964.0,1399200.0,1585946.0
