timestamp,125,126,127,128,129,130,131,132,133,134
129600,2505131.0,,,2153552.0,2423596.0,8398629.0,1609225.0,,1128594.0,2147803.0
131400,,,,2158723.0,2434151.0,8410113.0,,,,
133200,2521424.0,2395100.0,,2166091.0,2442116.0,8431063.0,1623588.0,,1134642.0,2161192.0
135000,2529452.0,2407591.0,,2168219.0,2449406.0,8504669.0,1627367.0,,1138371.0,2174810.0
136800,2536225.0,2421082.0,,2172025.0,2459366.0,8584159.0,1632707.0,,1143475.0,2184005.0
138600,2542148.0,2425025.0,3362122.0,2184294.0,2473045.0,8641991.0,1637952.0,,1150795.0,2191102.0
140400,2553436.0,2431840.0,3388455.0,,2480771.0,8725533.0,1642812.0,,1158261.0,2199240.0
142200,2554825.0,2439990.0,3406913.0,2204482.0,2492671.0,8800861.0,1655984.0,,1163964.0,2216058.0
144000,2581109.0,2454585.0,3437728.0,2225978.0,2507261.0,8854768.0,1661341.0,,1177835.0,2223254.0
145800,2590939.0,2466454.0,3480093.0,2231936.0,2515526.0,8898212.0,1671299.0,,1185458.0,2240207.0
147600,2605834.0,2478124.0,3533824.0,2239862.0,2529615.0,8984599.0,1687671.0,,1197215.0,2248040.0
149400,2623812.0,2495918.0,3586628.0,,2538242.0,9060210.0,1701009.0,,1207248.0,2260454.0
151200,2658923.0,2513070.0,3647387.0,2259429.0,2559094.0,9184675.0,,,1213363.0,2285960.0
153000,2677911.0,2535173.0,3712963.0,2267784.0,2577979.0,9232770.0,,,1223291.0,2309244.0
154800,2713335.0,2548405.0,3727975.0,2285520.0,2588647.0,9324149.0,,,1232774.0,2329560.0
156600,2726437.0,2556799.0,3770973.0,2297064.0,2600914.0,9397494.0,1766426.0,,1244222.0,2357108.0
158400,2759539.0,2587623.0,3804402.0,2305130.0,2612890.0,9423988.0,1790784.0,,1254263.0,2372429.0
160200,2799414.0,2607503.0,3845255.0,2323230.0,2618248.0,9522861.0,1805421.0,,1260654.0,2390840.0
162000,2825230.0,2626234.0,3876538.0,2335125.0,2634188.0,9660238.0,1821210.0,,1270750.0,2410550.0
163800,2849700.0,2648006.0,3882242.0,2348967.0,2649088.0,9810166.0,1835896.0,,1280490.0,2429656.0
165600,2875102.0,2673340.0,3894899.0,2355543.0,2667573.0,9877893.0,1845940.0,,1287843.0,2449419.0
167400,2903805.0,2694006.0,,2365818.0,2697800.0,9931449.0,1867835.0,,1298902.0,2483441.0
169200,2929200.0,2714974.0,3933968.0,2375955.0,2710139.0,10003846.0,1892517.0,,1305458.0,2502308.0
171000,2971370.0,2732932.0,3946917.0,2394982.0,2735467.0,10036627.0,1907304.0,,1314135.0,2544366.0
172800,2996227.0,2742446.0,3952166.0,2408530.0,2745913.0,10153502.0,1919486.0,,1321392.0,2559485.0
174600,3029957.0,2767759.0,3963348.0,2417976.0,2770499.0,10277917.0,1941464.0,,1333251.0,2592300.0
176400,3060305.0,2787585.0,3972878.0,2440146.0,2795553.0,10372598.0,1961541.0,,1342700.0,2616726.0
178200,3086883.0,2810280.0,3983588.0,,2812638.0,10448535.0,,,1350910.0,2646065.0
180000,3124957.0,2819652.0,3998378.0,2464935.0,2837771.0,10523056.0,1991791.0,,1360922.0,2680478.0
181800,3169417.0,2839789.0,4015959.0,2487305.0,2856570.0,10552338.0,2005909.0,,1371500.0,2721531.0
183600,3200664.0,2864524.0,4016914.0,2505720.0,2874356.0,10652101.0,2019591.0,,1380340.0,2748278.0
185400,3221148.0,2893925.0,4032052.0,2532235.0,2910819.0,10720922.0,2039856.0,,1394641.0,2774808.0
187200,3242056.0,2931613.0,4055431.0,2552231.0,2941028.0,10823993.0,2059067.0,,1409655.0,2793115.0
189000,3253230.0,2952316.0,4084306.0,,2965201.0,10979444.0,2080293.0,,1428370.0,2819577.0
190800,3288363.0,2994015.0,4109063.0,2598777.0,2988961.0,11131975.0,2090326.0,,,2838709.0
192600,3333892.0,3026952.0,4147191.0,2631064.0,3011971.0,11242099.0,2128983.0,,,2877875.0
194400,3362184.0,3049720.0,4180769.0,2661465.0,3039253.0,11388389.0,2151580.0,,,2902943.0
